"43493","2015-06-17 16:25:43","0AYLJ4X3T7","1","0.4596867300","2.2218192000","9.2703490000"
"43498","2015-06-17 16:25:43","0AYLJ4X3T7","1","0.2681506000","2.2984335000","9.0979660000"
"43502","2015-06-17 16:25:43","0AYLJ4X3T7","1","0.1532289100","2.4708161000","9.3469640000"
"43506","2015-06-17 16:25:43","0AYLJ4X3T7","1","0.7278373000","2.7006595000","9.0213520000"
"43510","2015-06-17 16:25:44","0AYLJ4X3T7","1","0.2681506000","2.7964275000","9.1362730000"
"43514","2015-06-17 16:25:44","0AYLJ4X3T7","1","0.4213795000","2.8730420000","8.8872770000"
"43518","2015-06-17 16:25:44","0AYLJ4X3T7","1","0.0000000000","2.8347350000","9.2128880000"
"43522","2015-06-17 16:25:44","0AYLJ4X3T7","1","0.5554548000","2.4708161000","9.1937340000"
"43526","2015-06-17 16:25:44","0AYLJ4X3T7","1","0.2873042000","2.8155810000","9.1171200000"
"43530","2015-06-17 16:25:45","0AYLJ4X3T7","1","-0.1149216800","2.9879637000","8.7148940000"
"43534","2015-06-17 16:25:45","0AYLJ4X3T7","1","0.2489969700","2.3942018000","9.0021980000"
"43539","2015-06-17 16:25:45","0AYLJ4X3T7","1","0.6129156400","2.0111294000","9.3278100000"
"43543","2015-06-17 16:25:45","0AYLJ4X3T7","1","-0.0574608400","1.9536686000","9.2703490000"
"43545","2015-06-17 16:25:45","0AYLJ4X3T7","1","0.2873042000","1.9919758000","9.2511950000"
"43549","2015-06-17 16:25:46","0AYLJ4X3T7","1","0.8619126000","2.0302830000","8.7532015000"
"43553","2015-06-17 16:25:46","0AYLJ4X3T7","1","0.1532289100","2.1643584000","9.2895020000"
"43558","2015-06-17 16:25:46","0AYLJ4X3T7","1","0.5554548000","2.2601264000","9.0979660000"
"43562","2015-06-17 16:25:46","0AYLJ4X3T7","1","0.7278373000","2.4516625000","9.2703490000"
"43566","2015-06-17 16:25:46","0AYLJ4X3T7","1","0.5363012000","2.6623523000","8.9638910000"
"43570","2015-06-17 16:25:47","0AYLJ4X3T7","1","0.7086837000","2.8538885000","9.2320410000"
"43574","2015-06-17 16:25:47","0AYLJ4X3T7","1","0.6703765000","2.8921957000","9.2511950000"
"43579","2015-06-17 16:25:47","0AYLJ4X3T7","1","0.9193734500","2.7772740000","8.9255840000"
"43583","2015-06-17 16:25:47","0AYLJ4X3T7","1","0.6512229000","2.8155810000","9.2128880000"
"43587","2015-06-17 16:25:47","0AYLJ4X3T7","1","0.5937620400","2.7581203000","8.9064300000"
"43591","2015-06-17 16:25:48","0AYLJ4X3T7","1","0.5363012000","2.7581203000","9.2128880000"
"43595","2015-06-17 16:25:48","0AYLJ4X3T7","1","0.6320692300","2.8347350000","8.8872770000"
"43599","2015-06-17 16:25:48","0AYLJ4X3T7","1","0.6320692300","3.0262709000","8.8489690000"
"43604","2015-06-17 16:25:48","0AYLJ4X3T7","1","0.0957680640","2.9305030000","9.0021980000"
"43612","2015-06-17 16:25:48","0AYLJ4X3T7","1","0.1149216800","3.1411927000","9.1554270000"
"43616","2015-06-17 16:25:49","0AYLJ4X3T7","1","0.1340753000","3.1986535000","8.4850510000"
