"id","time","username","sensor","value1","value2","value3"
43514,"2015-06-17 16:25:44","0AYLJ4X3T7","1",0.4213795,2.873042,8.887277
43518,"2015-06-17 16:25:44","0AYLJ4X3T7","1",0,2.834735,9.212888
43522,"2015-06-17 16:25:44","0AYLJ4X3T7","1",0.5554548,2.4708161,9.193734
43526,"2015-06-17 16:25:44","0AYLJ4X3T7","1",0.2873042,2.815581,9.11712
43530,"2015-06-17 16:25:45","0AYLJ4X3T7","1",-0.11492168,2.9879637,8.714894
43534,"2015-06-17 16:25:45","0AYLJ4X3T7","1",0.24899697,2.3942018,9.002198
43539,"2015-06-17 16:25:45","0AYLJ4X3T7","1",0.61291564,2.0111294,9.32781
43543,"2015-06-17 16:25:45","0AYLJ4X3T7","1",-0.05746084,1.9536686,9.270349
43545,"2015-06-17 16:25:45","0AYLJ4X3T7","1",0.2873042,1.9919758,9.251195
43549,"2015-06-17 16:25:46","0AYLJ4X3T7","1",0.8619126,2.030283,8.7532015
43553,"2015-06-17 16:25:46","0AYLJ4X3T7","1",0.15322891,2.1643584,9.289502
43558,"2015-06-17 16:25:46","0AYLJ4X3T7","1",0.5554548,2.2601264,9.097966
43562,"2015-06-17 16:25:46","0AYLJ4X3T7","1",0.7278373,2.4516625,9.270349
43566,"2015-06-17 16:25:46","0AYLJ4X3T7","1",0.5363012,2.6623523,8.963891
43570,"2015-06-17 16:25:47","0AYLJ4X3T7","1",0.7086837,2.8538885,9.232041
43574,"2015-06-17 16:25:47","0AYLJ4X3T7","1",0.6703765,2.8921957,9.251195
43579,"2015-06-17 16:25:47","0AYLJ4X3T7","1",0.91937345,2.777274,8.925584
43583,"2015-06-17 16:25:47","0AYLJ4X3T7","1",0.6512229,2.815581,9.212888
43587,"2015-06-17 16:25:47","0AYLJ4X3T7","1",0.59376204,2.7581203,8.90643
43591,"2015-06-17 16:25:48","0AYLJ4X3T7","1",0.5363012,2.7581203,9.212888
43595,"2015-06-17 16:25:48","0AYLJ4X3T7","1",0.63206923,2.834735,8.887277
43599,"2015-06-17 16:25:48","0AYLJ4X3T7","1",0.63206923,3.0262709,8.848969
43604,"2015-06-17 16:25:48","0AYLJ4X3T7","1",0.095768064,2.930503,9.002198
43612,"2015-06-17 16:25:48","0AYLJ4X3T7","1",0.11492168,3.1411927,9.155427
43616,"2015-06-17 16:25:49","0AYLJ4X3T7","1",0.1340753,3.1986535,8.485051
43620,"2015-06-17 16:25:49","0AYLJ4X3T7","1",0.7661445,2.336741,9.251195
43624,"2015-06-17 16:25:49","0AYLJ4X3T7","1",0.6512229,2.2409728,9.232041
43629,"2015-06-17 16:25:49","0AYLJ4X3T7","1",0.51714754,1.5897499,9.9790325
43633,"2015-06-17 16:25:49","0AYLJ4X3T7","1",0.59376204,2.2601264,9.11712
43637,"2015-06-17 16:25:50","0AYLJ4X3T7","1",0.59376204,2.834735,8.408437
43641,"2015-06-17 16:25:50","0AYLJ4X3T7","1",-0.4213795,3.217807,9.021352
43645,"2015-06-17 16:25:50","0AYLJ4X3T7","1",0.30645782,2.6240451,9.557653
43649,"2015-06-17 16:25:50","0AYLJ4X3T7","1",0.842759,2.27928,9.078813
43653,"2015-06-17 16:25:50","0AYLJ4X3T7","1",1.0726024,2.183512,9.174581
43658,"2015-06-17 16:25:51","0AYLJ4X3T7","1",0.8810662,2.336741,8.887277
43662,"2015-06-17 16:25:51","0AYLJ4X3T7","1",0.7469909,2.4133554,9.346964
43666,"2015-06-17 16:25:51","0AYLJ4X3T7","1",0.7086837,2.585738,9.040505
43670,"2015-06-17 16:25:51","0AYLJ4X3T7","1",0.51714754,2.8921957,8.944737
43675,"2015-06-17 16:25:51","0AYLJ4X3T7","1",0.38307226,2.6240451,9.174581
43679,"2015-06-17 16:25:52","0AYLJ4X3T7","1",0.22984336,2.4516625,9.021352
43683,"2015-06-17 16:25:52","0AYLJ4X3T7","1",0.5746084,2.1068976,9.270349
43687,"2015-06-17 16:25:52","0AYLJ4X3T7","1",0.24899697,2.2984335,9.212888
43691,"2015-06-17 16:25:52","0AYLJ4X3T7","1",0.36391866,2.3175871,9.021352
43696,"2015-06-17 16:25:53","0AYLJ4X3T7","1",0.2681506,2.2218192,9.289502
43700,"2015-06-17 16:25:53","0AYLJ4X3T7","1",0.51714754,2.2026656,9.251195
43702,"2015-06-17 16:25:53","0AYLJ4X3T7","1",0.59376204,2.1452048,9.232041
43706,"2015-06-17 16:25:53","0AYLJ4X3T7","1",0.6512229,2.2409728,9.193734
43710,"2015-06-17 16:25:53","0AYLJ4X3T7","1",0.6512229,2.183512,9.442732
43715,"2015-06-17 16:25:53","0AYLJ4X3T7","1",0.61291564,2.2218192,9.346964
43719,"2015-06-17 16:25:54","0AYLJ4X3T7","1",0.24899697,2.3750482,9.289502
43723,"2015-06-17 16:25:54","0AYLJ4X3T7","1",0.6703765,2.432509,9.193734
43727,"2015-06-17 16:25:54","0AYLJ4X3T7","1",0.51714754,2.9496565,8.734048
43731,"2015-06-17 16:25:54","0AYLJ4X3T7","1",0.7278373,3.122039,9.078813
43736,"2015-06-17 16:25:54","0AYLJ4X3T7","1",1.1683705,3.1986535,8.791509
43740,"2015-06-17 16:25:55","0AYLJ4X3T7","1",1.2066777,3.0262709,9.155427
43744,"2015-06-17 16:25:55","0AYLJ4X3T7","1",1.091756,3.217807,8.446744
43748,"2015-06-17 16:25:55","0AYLJ4X3T7","1",0.30645782,3.371036,8.676587
43752,"2015-06-17 16:25:55","0AYLJ4X3T7","1",0.30645782,3.0454245,8.868123
43756,"2015-06-17 16:25:55","0AYLJ4X3T7","1",0.2681506,3.122039,9.097966
43761,"2015-06-17 16:25:56","0AYLJ4X3T7","1",1.6280571,2.585738,9.021352
43765,"2015-06-17 16:25:56","0AYLJ4X3T7","1",1.6472107,2.8538885,8.90643
43769,"2015-06-17 16:25:56","0AYLJ4X3T7","1",1.5514427,2.719813,9.11712
43773,"2015-06-17 16:25:56","0AYLJ4X3T7","1",1.1875241,2.834735,9.059659
43777,"2015-06-17 16:25:56","0AYLJ4X3T7","1",1.3215994,2.777274,9.040505
43782,"2015-06-17 16:25:57","0AYLJ4X3T7","1",1.4556746,2.7006595,8.925584
43786,"2015-06-17 16:25:57","0AYLJ4X3T7","1",1.4748282,2.7964275,8.887277
43790,"2015-06-17 16:25:57","0AYLJ4X3T7","1",1.6089035,2.7964275,8.90643
43794,"2015-06-17 16:25:57","0AYLJ4X3T7","1",1.4939818,2.815581,8.963891
43798,"2015-06-17 16:25:57","0AYLJ4X3T7","1",1.5131354,2.8538885,9.040505
43803,"2015-06-17 16:25:58","0AYLJ4X3T7","1",1.2449849,2.96881,9.174581
43807,"2015-06-17 16:25:58","0AYLJ4X3T7","1",1.5514427,2.96881,9.193734
43811,"2015-06-17 16:25:58","0AYLJ4X3T7","1",1.436521,3.2561142,8.791509
43815,"2015-06-17 16:25:58","0AYLJ4X3T7","1",1.340753,3.1986535,8.810662
43819,"2015-06-17 16:25:58","0AYLJ4X3T7","1",1.0726024,3.083732,9.097966
43823,"2015-06-17 16:25:59","0AYLJ4X3T7","1",0.80445176,3.4284968,8.561666
43828,"2015-06-17 16:25:59","0AYLJ4X3T7","1",0.22984336,3.8115692,8.944737
43832,"2015-06-17 16:25:59","0AYLJ4X3T7","1",0.2681506,4.0797195,8.293514
43836,"2015-06-17 16:25:59","0AYLJ4X3T7","1",0.038307227,4.405331,7.8529816
43840,"2015-06-17 16:25:59","0AYLJ4X3T7","1",0.11492168,4.367024,7.9870567
43844,"2015-06-17 16:26:00","0AYLJ4X3T7","1",0.22984336,4.2904096,8.37013
43849,"2015-06-17 16:26:00","0AYLJ4X3T7","1",0.38307226,4.213795,8.37013
43853,"2015-06-17 16:26:00","0AYLJ4X3T7","1",0.90021986,4.060566,8.734048
43857,"2015-06-17 16:26:00","0AYLJ4X3T7","1",1.1683705,4.4819455,8.0445175
43861,"2015-06-17 16:26:00","0AYLJ4X3T7","1",0.91937345,3.6008794,9.193734
43865,"2015-06-17 16:26:01","0AYLJ4X3T7","1",1.1492168,3.466804,8.542512
43869,"2015-06-17 16:26:01","0AYLJ4X3T7","1",1.1875241,3.2752678,9.193734
43873,"2015-06-17 16:26:01","0AYLJ4X3T7","1",1.1683705,3.3518825,8.714894
43877,"2015-06-17 16:26:01","0AYLJ4X3T7","1",1.0534488,3.217807,9.002198
43881,"2015-06-17 16:26:01","0AYLJ4X3T7","1",1.1492168,3.217807,8.887277
43885,"2015-06-17 16:26:02","0AYLJ4X3T7","1",1.3599066,3.217807,9.021352
43889,"2015-06-17 16:26:02","0AYLJ4X3T7","1",1.283292,3.1986535,8.63828
43894,"2015-06-17 16:26:02","0AYLJ4X3T7","1",1.2449849,3.217807,8.848969
43898,"2015-06-17 16:26:02","0AYLJ4X3T7","1",1.2449849,3.1028855,8.963891
43900,"2015-06-17 16:26:02","0AYLJ4X3T7","1",1.1109096,3.2369606,8.734048
43904,"2015-06-17 16:26:03","0AYLJ4X3T7","1",0.6895301,3.5625722,8.848969
43908,"2015-06-17 16:26:03","0AYLJ4X3T7","1",0.4405331,3.7732618,8.504205
43913,"2015-06-17 16:26:03","0AYLJ4X3T7","1",1.5514427,2.9113493,8.90643
43917,"2015-06-17 16:26:03","0AYLJ4X3T7","1",1.6472107,3.4093432,8.90643
43921,"2015-06-17 16:26:03","0AYLJ4X3T7","1",0.7278373,3.2369606,9.481039
43925,"2015-06-17 16:26:04","0AYLJ4X3T7","1",1.4748282,2.9113493,8.944737
43929,"2015-06-17 16:26:04","0AYLJ4X3T7","1",1.4556746,2.8921957,9.11712
43933,"2015-06-17 16:26:04","0AYLJ4X3T7","1",1.0726024,3.1411927,8.925584
43937,"2015-06-17 16:26:04","0AYLJ4X3T7","1",0.90021986,3.1794999,8.887277
43941,"2015-06-17 16:26:04","0AYLJ4X3T7","1",0.8619126,3.1603463,8.925584
43945,"2015-06-17 16:26:05","0AYLJ4X3T7","1",0.7469909,3.2561142,8.868123
43949,"2015-06-17 16:26:05","0AYLJ4X3T7","1",0.7278373,3.2561142,8.714894
43953,"2015-06-17 16:26:05","0AYLJ4X3T7","1",0.91937345,3.0071173,9.097966
43958,"2015-06-17 16:26:05","0AYLJ4X3T7","1",0.8619126,3.1028855,8.887277
43962,"2015-06-17 16:26:05","0AYLJ4X3T7","1",0.91937345,2.930503,8.983045
