1434957100163;0.6512229;1.9919758;6.531382;0.14532948;0.21380532;-3.0994306;0.23861924;-0.60507023;-0.046871636;25.75;-31.75;4.25;0
1434957110164;-2.5474305;5.209783;9.002198;-0.61111045;1.7758274;0.02283287;-0.94595486;-0.75420725;-0.221575;-8.5;30.75;-13;0
1434957120164;1.5705963;3.217807;8.599973;0.5578474;1.4339482;-0.9897394;0.027696876;0.8245147;0.066046394;29.5;-38;7.75;0
1434957130163;0.38307226;1.7046716;6.090849;0.115175575;-0.44398284;-3.4737692;0.45806372;0.1470065;0.40266997;-12;37.5;-16.75;0
1434957140163;0;4.213795;12.947843;-0.4073891;1.5645936;3.514596;-1.2271847;-0.1107875;-0.24074976;15.5;-43.5;5;0
1434957150163;1.1300632;2.0111294;8.37013;1.2433864;0.64155245;-1.3397522;-0.14061491;0.4111921;-0.32810146;-20;39;-10.75;0
1434957160163;2.585738;-0.91937345;11.798626;1.80127;-1.5651052;2.044753;-0.2514024;-0.20879184;0.6263755;9;-34.75;0;0
1434957170163;-0.45968673;1.4748282;8.178593;0.44461498;-0.4916216;-1.3862228;-0.45167214;-0.036218993;0.30040458;-14.75;40.75;-12;0
1434957180163;0.076614454;1.2449849;7.201759;-0.035788342;-0.31806874;-2.4788718;-0.13848437;-0.05965481;-0.14487597;14;-27;3;0
1434957190163;1.3599066;1.2449849;7.2209125;-0.15862143;-0.52403724;-2.3045812;0.070307456;0.051132694;-0.5454154;-34.5;32.5;-7.5;0
1434957200163;2.1068976;0.49799395;9.844957;0.7127384;-1.3444964;0.31437778;-0.18961707;-0.21731395;-1.0972224;10.25;-34.5;-4;0
1434957210164;0.91937345;2.3750482;8.408437;0.004252851;0.35771608;-1.1447468;0.20879184;0.99708754;-0.02130529;-7;34;-9;0
1434957220208;1.532289;2.030283;6.531382;0.24082983;0.4611994;-3.0623918;-0.10865697;0.05752428;0.12357068;33.5;-33.5;8.5;0
1434957230164;2.5091233;2.873042;11.089942;0.95304286;0.69360447;1.6560106;0.0063915867;0.5965481;0.28122982;-27.25;32.75;-7.5;0
1434957240164;0.7086837;4.8267107;8.408437;-0.035607815;1.10671;-0.63468266;-0.11930962;0.12996227;-0.40266997;-17.5;-36.75;29;0
1434957250164;-0.6895301;4.6160207;8.963891;-0.9189204;0.9206302;-0.11695957;-0.45593318;-0.4708469;0.28549087;55.75;8.25;-2.25;0
